director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Steven Spielberg,Tom Hanks,Vin Diesel,Matt Damon,Action Drama War,saving private ryan,Tom Hanks Vin Diesel Matt Damon Steven Spielberg Action Drama War
Scott Waugh,Rami Malek,Dominic Cooper,Ramon Rodriguez,Action Crime Drama Thriller,need for speed,Rami Malek Dominic Cooper Ramon Rodriguez Scott Waugh Action Crime Drama Thriller
Nancy Meyers,Judy Greer,Lisa Edelstein,Loretta Devine,Comedy Fantasy Romance,what women want,Judy Greer Lisa Edelstein Loretta Devine Nancy Meyers Comedy Fantasy Romance
Chris Wedge,Goran Visnjic,Stephen Root,Denis Leary,Adventure Animation Comedy Family,ice age,Goran Visnjic Stephen Root Denis Leary Chris Wedge Adventure Animation Comedy Family
Lawrence Kasdan,Morgan Freeman,Michael O'Neill,Reece Thompson,Drama Horror Sci-Fi Thriller,dreamcatcher,Morgan Freeman Michael O'Neill Reece Thompson Lawrence Kasdan Drama Horror Sci-Fi Thriller
Steven Spielberg,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,Biography Drama History War,lincoln,Joseph Gordon-Levitt Hal Holbrook Bruce McGill Steven Spielberg Biography Drama History War
Lana Wachowski,Keanu Reeves,Marcus Chong,Gloria Foster,Action Sci-Fi,the matrix,Keanu Reeves Marcus Chong Gloria Foster Lana Wachowski Action Sci-Fi
Ron Howard,Tom Hanks,Miko Hughes,Kathleen Quinlan,Adventure Drama History,apollo 13,Tom Hanks Miko Hughes Kathleen Quinlan Ron Howard Adventure Drama History
Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,Action Sci-Fi,total recall,Ronny Cox Rachel Ticotin Marshall Bell Paul Verhoeven Action Sci-Fi
Michael Lembeck,Judge Reinhold,Aisha Tyler,Eric Lloyd,Comedy Family Fantasy,the santa clause 2,Judge Reinhold Aisha Tyler Eric Lloyd Michael Lembeck Comedy Family Fantasy
Tom Hooper,Hugh Jackman,Eddie Redmayne,Anne Hathaway,Drama Musical Romance,les misérables,Hugh Jackman Eddie Redmayne Anne Hathaway Tom Hooper Drama Musical Romance
Nora Ephron,Tom Hanks,Jean Stapleton,Dave Chappelle,Comedy Drama Romance,you've got mail,Tom Hanks Jean Stapleton Dave Chappelle Nora Ephron Comedy Drama Romance
Adam McKay,Will Ferrell,Adam Scott,Andrea Savage,Comedy,step brothers,Will Ferrell Adam Scott Andrea Savage Adam McKay Comedy
Martin Campbell,Anthony Hopkins,Tony Amendola,Stuart Wilson,Action Adventure Comedy Romance Thriller Western,the mask of zorro,Anthony Hopkins Tony Amendola Stuart Wilson Martin Campbell Action Adventure Comedy Romance Thriller Western
Todd Phillips,Robert Downey Jr.,RZA,Matt Walsh,Comedy Drama,due date,Robert Downey Jr. RZA Matt Walsh Todd Phillips Comedy Drama
Clint Eastwood,Clint Eastwood,Courtney B. Vance,William Devane,Action Adventure Thriller,space cowboys,Clint Eastwood Courtney B. Vance William Devane Clint Eastwood Action Adventure Thriller
Renny Harlin,Sylvester Stallone,Leon,Janine Turner,Action Adventure Thriller,cliffhanger,Sylvester Stallone Leon Janine Turner Renny Harlin Action Adventure Thriller
John Woo,Delroy Lindo,Samantha Mathis,Bob Gunton,Action Crime Thriller,broken arrow,Delroy Lindo Samantha Mathis Bob Gunton John Woo Action Crime Thriller
Jon Turteltaub,Bruce Willis,Lily Tomlin,Daniel von Bargen,Comedy Family Fantasy,the kid,Bruce Willis Lily Tomlin Daniel von Bargen Jon Turteltaub Comedy Family Fantasy
Oliver Stone,Nicolas Cage,Jay Hernandez,Armando Riesco,Drama History Thriller,world trade center,Nicolas Cage Jay Hernandez Armando Riesco Oliver Stone Drama History Thriller
Mike Newell,Julia Roberts,Kirsten Dunst,Marian Seldes,Drama,mona lisa smile,Julia Roberts Kirsten Dunst Marian Seldes Mike Newell Drama
Larry Charles,Sayed Badreya,Aasif Mandvi,Horatio Sanz,Comedy Romance,the dictator,Sayed Badreya Aasif Mandvi Horatio Sanz Larry Charles Comedy Romance
Stanley Kubrick,Tom Cruise,Vinessa Shaw,Sydney Pollack,Drama Mystery Thriller,eyes wide shut,Tom Cruise Vinessa Shaw Sydney Pollack Stanley Kubrick Drama Mystery Thriller
Will Gluck,Quvenzhané Wallis,Dorian Missick,David Zayas,Comedy Drama Family Musical,annie,Quvenzhané Wallis Dorian Missick David Zayas Will Gluck Comedy Drama Family Musical
Glenn Ficarra,Will Smith,Adrian Martinez,Gerald McRaney,Comedy Crime Drama Romance,focus,Will Smith Adrian Martinez Gerald McRaney Glenn Ficarra Comedy Crime Drama Romance
McG,Tom Hardy,Abigail Spencer,Warren Christie,Action Comedy Romance,this means war,Tom Hardy Abigail Spencer Warren Christie McG Action Comedy Romance
David S. Goyer,Ryan Reynolds,Natasha Lyonne,John Michael Higgins,Action Adventure Fantasy Horror Sci-Fi Thriller,blade: trinity,Ryan Reynolds Natasha Lyonne John Michael Higgins David S. Goyer Action Adventure Fantasy Horror Sci-Fi Thriller
John Milius,Lea Thompson,Jennifer Grey,William Smith,Action Drama War,red dawn,Lea Thompson Jennifer Grey William Smith John Milius Action Drama War
Mike Nichols,Maura Tierney,Adrian Lester,Paul Guilfoyle,Comedy Drama,primary colors,Maura Tierney Adrian Lester Paul Guilfoyle Mike Nichols Comedy Drama
Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Bingbing Li,Action Horror Sci-Fi Thriller,resident evil: retribution,Milla Jovovich Boris Kodjoe Bingbing Li Paul W.S. Anderson Action Horror Sci-Fi Thriller
Paul W.S. Anderson,Jason Statham,Max Ryan,Joan Allen,Action Sci-Fi Thriller,death race,Jason Statham Max Ryan Joan Allen Paul W.S. Anderson Action Sci-Fi Thriller
Renny Harlin,Melina Kanakaredes,Craig Bierko,Yvonne Zima,Action Crime Drama Mystery Thriller,the long kiss goodnight,Melina Kanakaredes Craig Bierko Yvonne Zima Renny Harlin Action Crime Drama Mystery Thriller
Taylor Hackford,Pamela Reed,Alun Armstrong,Michael Kitchen,Action Drama Thriller,proof of life,Pamela Reed Alun Armstrong Michael Kitchen Taylor Hackford Action Drama Thriller
Jon Favreau,Kristen Stewart,Josh Hutcherson,Jonah Bobo,Action Adventure Comedy Family Fantasy Sci-Fi,zathura: a space adventure,Kristen Stewart Josh Hutcherson Jonah Bobo Jon Favreau Action Adventure Comedy Family Fantasy Sci-Fi
David Fincher,Brad Pitt,Meat Loaf,Eugenie Bondurant,Drama,fight club,Brad Pitt Meat Loaf Eugenie Bondurant David Fincher Drama
McG,Matthew McConaughey,Kimberly Williams-Paisley,Brian Geraghty,Drama Sport,we are marshall,Matthew McConaughey Kimberly Williams-Paisley Brian Geraghty McG Drama Sport
unknown,Jason Flemyng,James Nesbitt,Frances O'Connor,Crime Drama Mystery,the missing            ,Jason Flemyng James Nesbitt Frances O'Connor unknown Crime Drama Mystery
Michael Lehmann,Bruce Willis,James Coburn,Richard E. Grant,Action Adventure Comedy,hudson hawk,Bruce Willis James Coburn Richard E. Grant Michael Lehmann Action Adventure Comedy
Nora Ephron,Michael Rapaport,Michael Moore,Richard Schiff,Comedy Crime,lucky numbers,Michael Rapaport Michael Moore Richard Schiff Nora Ephron Comedy Crime
Stuart Beattie,Caitlin Stasey,Kevin Grevioux,Miranda Otto,Action Fantasy Sci-Fi Thriller,"i, frankenstein",Caitlin Stasey Kevin Grevioux Miranda Otto Stuart Beattie Action Fantasy Sci-Fi Thriller
Roman Polanski,Ian McNeice,Barney Clark,Tony Noble,Crime Drama,oliver twist,Ian McNeice Barney Clark Tony Noble Roman Polanski Crime Drama
Rob Bowman,Jennifer Garner,Cary-Hiroyuki Tagawa,Goran Visnjic,Action Crime Fantasy Thriller,elektra,Jennifer Garner Cary-Hiroyuki Tagawa Goran Visnjic Rob Bowman Action Crime Fantasy Thriller
Frank Miller,Joseph Gordon-Levitt,Bruce Willis,Eva Green,Action Crime Thriller,sin city: a dame to kill for,Joseph Gordon-Levitt Bruce Willis Eva Green Frank Miller Action Crime Thriller
Sydney Pollack,Harrison Ford,Kristin Scott Thomas,Bill Cobbs,Drama Mystery Romance,random hearts,Harrison Ford Kristin Scott Thomas Bill Cobbs Sydney Pollack Drama Mystery Romance
Baltasar Kormákur,Michael Kelly,Martin Henderson,Tom Goodman-Hill,Adventure Biography Drama History Sport Thriller,everest,Michael Kelly Martin Henderson Tom Goodman-Hill Baltasar Kormákur Adventure Biography Drama History Sport Thriller
Tom Tykwer,Michael Smiley,David Calder,Simon Chandler,Crime Drama Fantasy,perfume: the story of a murderer,Michael Smiley David Calder Simon Chandler Tom Tykwer Crime Drama Fantasy
Jay Roach,Verne Troyer,Josh Zuckerman,Robert Wagner,Action Comedy Crime,austin powers in goldmember,Verne Troyer Josh Zuckerman Robert Wagner Jay Roach Action Comedy Crime
David Bowers,Nicolas Cage,Charlize Theron,Dee Bradley Baker,Action Animation Comedy Family Sci-Fi,astro boy,Nicolas Cage Charlize Theron Dee Bradley Baker David Bowers Action Animation Comedy Family Sci-Fi
Steven Spielberg,Wayne Knight,Ariana Richards,Bob Peck,Adventure Sci-Fi Thriller,jurassic park,Wayne Knight Ariana Richards Bob Peck Steven Spielberg Adventure Sci-Fi Thriller
Lawrence Kasdan,Dennis Quaid,Catherine O'Hara,Isabella Rossellini,Adventure Biography Crime Drama Western,wyatt earp,Dennis Quaid Catherine O'Hara Isabella Rossellini Lawrence Kasdan Adventure Biography Crime Drama Western
Phillip Noyce,Harrison Ford,Dean Jones,Raymond Cruz,Action Crime Drama Thriller,clear and present danger,Harrison Ford Dean Jones Raymond Cruz Phillip Noyce Action Crime Drama Thriller
Daniel Lee,Si Won Choi,Peng Lin,Sung-jun Yoo,Action Adventure Drama History,dragon blade,Si Won Choi Peng Lin Sung-jun Yoo Daniel Lee Action Adventure Drama History
Keenen Ivory Wayans,Chazz Palminteri,Brittany Daniel,John Witherspoon,Comedy Crime,littleman,Chazz Palminteri Brittany Daniel John Witherspoon Keenen Ivory Wayans Comedy Crime
Jonathan Mostow,Matthew McConaughey,Thomas Kretschmann,David Keith,Action War,u-571,Matthew McConaughey Thomas Kretschmann David Keith Jonathan Mostow Action War
Rob Reiner,Shawna Waldron,Samantha Mathis,Wendie Malick,Comedy Drama Romance,the american president,Shawna Waldron Samantha Mathis Wendie Malick Rob Reiner Comedy Drama Romance
Marco Schnabel,Justin Timberlake,Romany Malco,Verne Troyer,Comedy Romance Sport,the love guru,Justin Timberlake Romany Malco Verne Troyer Marco Schnabel Comedy Romance Sport
Demian Lichtenstein,Jon Lovitz,Bokeem Woodbine,Ice-T,Action Comedy Crime Thriller,3000 miles to graceland,Jon Lovitz Bokeem Woodbine Ice-T Demian Lichtenstein Action Comedy Crime Thriller
Quentin Tarantino,Craig Stark,Jennifer Jason Leigh,Zoë Bell,Crime Drama Mystery Thriller Western,the hateful eight,Craig Stark Jennifer Jason Leigh Zoë Bell Quentin Tarantino Crime Drama Mystery Thriller Western
Josh Gordon,Will Ferrell,Amy Poehler,Jon Heder,Comedy Sport,blades of glory,Will Ferrell Amy Poehler Jon Heder Josh Gordon Comedy Sport
Tim Hill,Gary Cole,Elizabeth Perkins,Chelsea Handler,Adventure Animation Comedy Family Fantasy,hop,Gary Cole Elizabeth Perkins Chelsea Handler Tim Hill Adventure Animation Comedy Family Fantasy
Zack Snyder,Gerard Butler,Michael Fassbender,Vincent Regan,Action Drama Fantasy War,300,Gerard Butler Michael Fassbender Vincent Regan Zack Snyder Action Drama Fantasy War
Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,Comedy Romance,meet the fockers,Robert De Niro Blythe Danner Teri Polo Jay Roach Comedy Romance
David Frankel,Eric Dane,Kathleen Turner,Haley Bennett,Comedy Drama Family,marley & me,Eric Dane Kathleen Turner Haley Bennett David Frankel Comedy Drama Family
Frank Darabont,Tom Hanks,Jeffrey DeMunn,Michael Jeter,Crime Drama Fantasy Mystery,the green mile,Tom Hanks Jeffrey DeMunn Michael Jeter Frank Darabont Crime Drama Fantasy Mystery
Walt Becker,Jill Hennessy,Tichina Arnold,Drew Sidora,Action Adventure Comedy,wild hogs,Jill Hennessy Tichina Arnold Drew Sidora Walt Becker Action Adventure Comedy
Mark Dindal,Catherine O'Hara,Fred Willard,Amy Sedaris,Adventure Animation Comedy Family Sci-Fi,chicken little,Catherine O'Hara Fred Willard Amy Sedaris Mark Dindal Adventure Animation Comedy Family Sci-Fi
David Fincher,Patrick Fugit,Sela Ward,Emily Ratajkowski,Crime Drama Mystery Thriller,gone girl,Patrick Fugit Sela Ward Emily Ratajkowski David Fincher Crime Drama Mystery Thriller
Doug Liman,Matt Damon,Josh Hamilton,Nicky Naudé,Action Mystery Thriller,the bourne identity,Matt Damon Josh Hamilton Nicky Naudé Doug Liman Action Mystery Thriller
Martin Campbell,Izabella Scorupco,Joe Don Baker,Tchéky Karyo,Action Adventure Thriller,goldeneye,Izabella Scorupco Joe Don Baker Tchéky Karyo Martin Campbell Action Adventure Thriller
Simon West,Daniel von Bargen,Timothy Hutton,Clarence Williams III,Drama Mystery Thriller,the general's daughter,Daniel von Bargen Timothy Hutton Clarence Williams III Simon West Drama Mystery Thriller
Peter Weir,Natascha McElhone,Noah Emmerich,Peter Krause,Comedy Drama Sci-Fi,the truman show,Natascha McElhone Noah Emmerich Peter Krause Peter Weir Comedy Drama Sci-Fi
Brenda Chapman,Martin Short,Aria Noelle Curzon,Eden Riegel,Adventure Animation Biography Drama Family Fantasy Musical,the prince of egypt,Martin Short Aria Noelle Curzon Eden Riegel Brenda Chapman Adventure Animation Biography Drama Family Fantasy Musical
Steve Carr,Anjelica Huston,Lisa Edelstein,Jeff Garlin,Comedy Family,daddy day care,Anjelica Huston Lisa Edelstein Jeff Garlin Steve Carr Comedy Family
Baltasar Kormákur,Denzel Washington,Patrick Fischler,Fred Ward,Action Comedy Crime Drama Thriller,2 guns,Denzel Washington Patrick Fischler Fred Ward Baltasar Kormákur Action Comedy Crime Drama Thriller
Lawrence Guterman,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes,Action Comedy Family Fantasy,cats & dogs,Carol Ann Susi Elizabeth Perkins Miriam Margolyes Lawrence Guterman Action Comedy Family Fantasy
F. Gary Gray,Jason Statham,Charlize Theron,Jimmy Shubert,Action Crime Thriller,the italian job,Jason Statham Charlize Theron Jimmy Shubert F. Gary Gray Action Crime Thriller
Marc Lawrence,Dorian Missick,Alicia Witt,Dana Ivey,Comedy Romance,two weeks notice,Dorian Missick Alicia Witt Dana Ivey Marc Lawrence Comedy Romance
Eric Darnell,Sylvester Stallone,Woody Allen,Anne Bancroft,Adventure Animation Comedy Family,antz,Sylvester Stallone Woody Allen Anne Bancroft Eric Darnell Adventure Animation Comedy Family
Peter Billingsley,Jon Favreau,Kristin Davis,Tasha Smith,Comedy,couples retreat,Jon Favreau Kristin Davis Tasha Smith Peter Billingsley Comedy
Tony Scott,Tom Cruise,Robert Duvall,Randy Quaid,Action Drama Sport,days of thunder,Tom Cruise Robert Duvall Randy Quaid Tony Scott Action Drama Sport
Adam Shankman,Taylor Lautner,Tom Welling,Alyson Stoner,Adventure Comedy Family,cheaper by the dozen 2,Taylor Lautner Tom Welling Alyson Stoner Adam Shankman Adventure Comedy Family
Wes Ball,Ki Hong Lee,Lili Taylor,Rosa Salazar,Action Sci-Fi Thriller,the scorch trials,Ki Hong Lee Lili Taylor Rosa Salazar Wes Ball Action Sci-Fi Thriller
Ryan Murphy,James Franco,Julia Roberts,Billy Crudup,Drama Romance,eat pray love,James Franco Julia Roberts Billy Crudup Ryan Murphy Drama Romance
Brett Ratner,Nicolas Cage,Don Cheadle,Amber Valletta,Comedy Drama Fantasy Romance,the family man,Nicolas Cage Don Cheadle Amber Valletta Brett Ratner Comedy Drama Fantasy Romance
Robert Schwentke,Bruce Willis,Morgan Freeman,Jaqueline Fleming,Action Comedy Crime Thriller,red,Bruce Willis Morgan Freeman Jaqueline Fleming Robert Schwentke Action Comedy Crime Thriller
Oliver Stone,Al Pacino,Dennis Quaid,LL Cool J,Drama Sport,any given sunday,Al Pacino Dennis Quaid LL Cool J Oliver Stone Drama Sport
Robert Redford,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,Drama Romance Western,the horse whisperer,Scarlett Johansson Kristin Scott Thomas Jessalyn Gilsig Robert Redford Drama Romance Western
Michael Mann,Tom Cruise,Jada Pinkett Smith,Debi Mazar,Crime Drama Thriller,collateral,Tom Cruise Jada Pinkett Smith Debi Mazar Michael Mann Crime Drama Thriller
Chuck Russell,Dwayne Johnson,Roger Rees,Bernard Hill,Action Adventure Fantasy Thriller,the scorpion king,Dwayne Johnson Roger Rees Bernard Hill Chuck Russell Action Adventure Fantasy Thriller
Jay Russell,Billy Burke,Jay Hernandez,Jacinda Barrett,Action Drama Thriller,ladder 49,Billy Burke Jay Hernandez Jacinda Barrett Jay Russell Action Drama Thriller
Renny Harlin,LL Cool J,Michael Rapaport,Saffron Burrows,Action Sci-Fi Thriller,deep blue sea,LL Cool J Michael Rapaport Saffron Burrows Renny Harlin Action Sci-Fi Thriller
Kenny Ortega,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,Documentary Music,this is it,Misha Gabriel Hamilton Mekia Cox Judith Hill Kenny Ortega Documentary Music
Steven Soderbergh,Matt Damon,Monique Gabriela Curnen,Griffin Kane,Drama Thriller,contagion,Matt Damon Monique Gabriela Curnen Griffin Kane Steven Soderbergh Drama Thriller
David McNally,Estella Warren,Dyan Cannon,Bill Hunter,Action Adventure Comedy Crime,kangaroo jack,Estella Warren Dyan Cannon Bill Hunter David McNally Action Adventure Comedy Crime
Henry Selick,Jennifer Saunders,Dawn French,John Hodgman,Animation Family Fantasy,coraline,Jennifer Saunders Dawn French John Hodgman Henry Selick Animation Family Fantasy
M. Night Shyamalan,Zooey Deschanel,Alan Ruck,Kristen Connolly,Sci-Fi Thriller,the happening,Zooey Deschanel Alan Ruck Kristen Connolly M. Night Shyamalan Sci-Fi Thriller
Tony Scott,Denzel Washington,Radha Mitchell,Giancarlo Giannini,Action Crime Drama Thriller,man on fire,Denzel Washington Radha Mitchell Giancarlo Giannini Tony Scott Action Crime Drama Thriller
Brian Robbins,Robert Downey Jr.,Joel David Moore,Kristin Davis,Comedy Family Fantasy,the shaggy dog,Robert Downey Jr. Joel David Moore Kristin Davis Brian Robbins Comedy Family Fantasy
Todd Phillips,Snoop Dogg,Carmen Electra,Fred Williamson,Comedy Crime,starsky & hutch,Snoop Dogg Carmen Electra Fred Williamson Todd Phillips Comedy Crime
Brian Levant,Jim Belushi,Harvey Korman,Jake Lloyd,Comedy Family,jingle all the way,Jim Belushi Harvey Korman Jake Lloyd Brian Levant Comedy Family
Guillermo del Toro,James Babson,Rupert Evans,Brian Steele,Action Fantasy Horror Sci-Fi,hellboy,James Babson Rupert Evans Brian Steele Guillermo del Toro Action Fantasy Horror Sci-Fi
Steven Zaillian,Robert Duvall,Kathleen Quinlan,Sydney Pollack,Drama,a civil action,Robert Duvall Kathleen Quinlan Sydney Pollack Steven Zaillian Drama
Chris Butler,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,Adventure Animation Comedy Family Fantasy,paranorman,Anna Kendrick Kodi Smit-McPhee Elaine Stritch Chris Butler Adventure Animation Comedy Family Fantasy
Michael Caton-Jones,J.K. Simmons,Bruce Willis,Sophie Okonedo,Action Adventure Crime Thriller,the jackal,J.K. Simmons Bruce Willis Sophie Okonedo Michael Caton-Jones Action Adventure Crime Thriller
John Woo,Ivana Milicevic,Joe Morton,Callum Rennie,Action Mystery Sci-Fi Thriller,paycheck,Ivana Milicevic Joe Morton Callum Rennie John Woo Action Mystery Sci-Fi Thriller
Jon Avnet,Joe Mantegna,Stockard Channing,Raymond Cruz,Drama Romance,up close & personal,Joe Mantegna Stockard Channing Raymond Cruz Jon Avnet Drama Romance
Sam Fell,Emma Watson,Matthew Broderick,Frank Langella,Adventure Animation Comedy Family Fantasy,the tale of despereaux,Emma Watson Matthew Broderick Frank Langella Sam Fell Adventure Animation Comedy Family Fantasy
unknown,Bianca Kajlich,Oliver Hudson,Adhir Kalyan,Comedy Romance,rules of engagement            ,Bianca Kajlich Oliver Hudson Adhir Kalyan unknown Comedy Romance
Kevin Donovan,Romany Malco,Debi Mazar,Ritchie Coster,Action Comedy Sci-Fi,the tuxedo,Romany Malco Debi Mazar Ritchie Coster Kevin Donovan Action Comedy Sci-Fi
Geoff Murphy,Peter Greene,Brenda Bakke,Patrick Kilpatrick,Action Thriller,under siege 2: dark territory,Peter Greene Brenda Bakke Patrick Kilpatrick Geoff Murphy Action Thriller
Kenneth Branagh,Colm Feore,Nonso Anozie,Gemma Chan,Action Drama Thriller,jack ryan: shadow recruit,Colm Feore Nonso Anozie Gemma Chan Kenneth Branagh Action Drama Thriller
David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Biography Comedy Drama,joy,Jennifer Lawrence Robert De Niro Bradley Cooper David O. Russell Biography Comedy Drama
Babak Najafi,Gerard Butler,Radha Mitchell,Julian Kostov,Action Crime Drama Thriller,london has fallen,Gerard Butler Radha Mitchell Julian Kostov Babak Najafi Action Crime Drama Thriller
Jean-Pierre Jeunet,Gary Dourdan,Michael Wincott,Raymond Cruz,Action Horror Sci-Fi,alien: resurrection,Gary Dourdan Michael Wincott Raymond Cruz Jean-Pierre Jeunet Action Horror Sci-Fi
Antoine Fuqua,Tate Donovan,Ned Beatty,Louis Ferreira,Action Crime Drama Mystery Thriller,shooter,Tate Donovan Ned Beatty Louis Ferreira Antoine Fuqua Action Crime Drama Mystery Thriller
Graham Annable,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,Adventure Animation Comedy Family Fantasy,the boxtrolls,Isaac Hempstead Wright Dee Bradley Baker Tracy Morgan Graham Annable Adventure Animation Comedy Family Fantasy
Griffin Dunne,Goran Visnjic,Dianne Wiest,Stockard Channing,Comedy Drama Fantasy Romance,practical magic,Goran Visnjic Dianne Wiest Stockard Channing Griffin Dunne Comedy Drama Fantasy Romance
Phil Lord,Morgan Freeman,Will Ferrell,Alison Brie,Action Adventure Animation Comedy Family Fantasy,the lego movie,Morgan Freeman Will Ferrell Alison Brie Phil Lord Action Adventure Animation Comedy Family Fantasy
John Pasquin,Eileen Brennan,Diedrich Bader,Treat Williams,Action Comedy Crime,miss congeniality 2: armed and fabulous,Eileen Brennan Diedrich Bader Treat Williams John Pasquin Action Comedy Crime
Rob Bowman,Christian Bale,Gerard Butler,Matthew McConaughey,Action Adventure Fantasy Sci-Fi Thriller,reign of fire,Christian Bale Gerard Butler Matthew McConaughey Rob Bowman Action Adventure Fantasy Sci-Fi Thriller
Ruben Fleischer,Ryan Gosling,Brandon Molale,Wade Williams,Action Crime Drama Thriller,gangster squad,Ryan Gosling Brandon Molale Wade Williams Ruben Fleischer Action Crime Drama Thriller
Harold Ramis,Olivia Wilde,Oliver Platt,Xander Berkeley,Adventure Comedy,year one,Olivia Wilde Oliver Platt Xander Berkeley Harold Ramis Adventure Comedy
Clint Eastwood,Matt Damon,Morgan Freeman,Leleti Khumalo,Biography Drama History Sport,invictus,Matt Damon Morgan Freeman Leleti Khumalo Clint Eastwood Biography Drama History Sport
Kevin Macdonald,Robin Wright,Harry Lennix,Michael Weston,Crime Drama Mystery Thriller,state of play,Robin Wright Harry Lennix Michael Weston Kevin Macdonald Crime Drama Mystery Thriller
Tony Gilroy,Julia Roberts,Tom Wilkinson,Denis O'Hare,Comedy Crime Romance Thriller,duplicity,Julia Roberts Tom Wilkinson Denis O'Hare Tony Gilroy Comedy Crime Romance Thriller
Donald Petrie,Steven Anthony Lawrence,Ray Walston,Michael Lerner,Comedy Family Sci-Fi,my favorite martian,Steven Anthony Lawrence Ray Walston Michael Lerner Donald Petrie Comedy Family Sci-Fi
Clark Johnson,Blair Brown,David Rasche,Martin Donovan,Action Crime Thriller,the sentinel,Blair Brown David Rasche Martin Donovan Clark Johnson Action Crime Thriller
Jorge Blanco,Dwayne Johnson,Gary Oldman,James Corden,Adventure Animation Comedy Family Sci-Fi,planet 51,Dwayne Johnson Gary Oldman James Corden Jorge Blanco Adventure Animation Comedy Family Sci-Fi
Stuart Baird,Tom Hardy,LeVar Burton,Jonathan Frakes,Action Adventure Sci-Fi Thriller,star trek: nemesis,Tom Hardy LeVar Burton Jonathan Frakes Stuart Baird Action Adventure Sci-Fi Thriller
Joel Coen,Cedric the Entertainer,Paul Adelstein,Julia Duffy,Comedy Crime Romance,intolerable cruelty,Cedric the Entertainer Paul Adelstein Julia Duffy Joel Coen Comedy Crime Romance
Robert Lorenz,Clint Eastwood,Ed Lauter,Bob Gunton,Drama Sport,trouble with the curve,Clint Eastwood Ed Lauter Bob Gunton Robert Lorenz Drama Sport
Martin Campbell,Bojana Novakovic,Ray Winstone,Denis O'Hare,Crime Drama Mystery Thriller,edge of darkness,Bojana Novakovic Ray Winstone Denis O'Hare Martin Campbell Crime Drama Mystery Thriller
Peter Hyams,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,Horror Mystery Sci-Fi Thriller,the relic,John Kapelos Penelope Ann Miller Chi Muoi Lo Peter Hyams Horror Mystery Sci-Fi Thriller
Harold Ramis,Robert De Niro,Cathy Moriarty,Joe Viterelli,Comedy Crime,analyze that,Robert De Niro Cathy Moriarty Joe Viterelli Harold Ramis Comedy Crime
Jon Avnet,Robert De Niro,Al Pacino,50 Cent,Action Crime Drama Mystery Thriller,righteous kill,Robert De Niro Al Pacino 50 Cent Jon Avnet Action Crime Drama Mystery Thriller
Joe Wright,Robert Downey Jr.,Stephen Root,Rachael Harris,Biography Drama Music,the soloist,Robert Downey Jr. Stephen Root Rachael Harris Joe Wright Biography Drama Music
Robert Redford,Matt Damon,Will Smith,Charlize Theron,Drama Fantasy Sport,the legend of bagger vance,Matt Damon Will Smith Charlize Theron Robert Redford Drama Fantasy Sport
Cameron Crowe,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,Adventure Comedy Drama Music,almost famous,Philip Seymour Hoffman Zooey Deschanel Michael Angarano Cameron Crowe Adventure Comedy Drama Music
Tim Hill,Bill Murray,Roger Rees,Ben Falcone,Animation Comedy Family Fantasy,garfield 2,Bill Murray Roger Rees Ben Falcone Tim Hill Animation Comedy Family Fantasy
Lee Tamahori,Sunny Mabrey,Nona Gaye,Xzibit,Action Adventure Crime Thriller,xxx: state of the union,Sunny Mabrey Nona Gaye Xzibit Lee Tamahori Action Adventure Crime Thriller
Scott Stewart,Josh Wingate,Alan Dale,Jacob Hopkins,Action Fantasy Horror Sci-Fi Thriller,priest,Josh Wingate Alan Dale Jacob Hopkins Scott Stewart Action Fantasy Horror Sci-Fi Thriller
Patrick Gilmore,Brad Pitt,Adriano Giannini,Timothy West,Adventure Animation Comedy Drama Family Fantasy Romance,sinbad: legend of the seven seas,Brad Pitt Adriano Giannini Timothy West Patrick Gilmore Adventure Animation Comedy Drama Family Fantasy Romance
Paul W.S. Anderson,Sean Pertwee,Joely Richardson,Kathleen Quinlan,Horror Sci-Fi Thriller,event horizon,Sean Pertwee Joely Richardson Kathleen Quinlan Paul W.S. Anderson Horror Sci-Fi Thriller
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,the avengers,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi
Tom Shadyac,Joe Morton,Susanna Thompson,Matt Craven,Drama Fantasy Mystery Romance Thriller,dragonfly,Joe Morton Susanna Thompson Matt Craven Tom Shadyac Drama Fantasy Mystery Romance Thriller
